artist,2011 July,2011 August,2011 September,2011 October,2011 November,2011 December,2012 January,2012 February,2012 March,2012 April,2012 May,2012 June,2012 July,2012 August,2012 September,2012 October,2012 November,2012 December,2013 January,2013 February,2013 March,2013 April,2013 May,2013 June,2013 July,2013 August,2013 September,2013 October,2013 November,2013 December,2014 January,2014 February,2014 March,2014 April,2014 May,2014 June,2014 July,2014 August,2014 September,2014 October,2014 November,2014 December,2015 January,2015 February,2015 March,2015 April,2015 May,2015 June,2015 July,2015 August,2015 September,2015 October,2015 November,2015 December,2016 January,2016 February,2016 March,2016 April,2016 May,2016 June,2016 July,2016 August,2016 September,2016 October,2016 November,2016 December,2017 January,2017 February,2017 March,2017 April,2017 May,2017 June,2017 July,2017 August,2017 September,2017 October,2017 November,2017 December,2018 January,2018 February,2018 March,2018 April,2018 May,2018 June,2018 July,2018 August,2018 September,2018 October,2018 November,2018 December,2019 January,2019 February,2019 March,2019 April,2019 May,2019 June,2019 July,2019 August,2019 September
Foster the People,140,165,167,,,,170,,188,,,,,,,,,189,,,,,,,,,,,,,190,192,208,210,239,357,359,367,,,,,,,,382,,384,,385,,392,,,408,,,,,414,,,,,,417,429,,,,,,,436,,,,441,,,,,,,,442,,,,,,,,,,,,,
Gorillaz,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chadwick Stokes,190,196,,256,,277,278,,,299,316,318,320,,,,321,,,,338,339,348,350,,352,,,,,430,438,,,488,,511,512,,,538,,,,,539,650,655,,657,,669,,677,683,773,796,800,,,817,,,826,,827,833,,,857,,861,863,864,,,876,892,,,956,,964,,,970,,,,988,,996,,997,,,,1018,1019
Mumford & Sons,120,189,195,,196,,199,,,,,,,201,322,329,,,332,,343,,,,,,,,,,344,,,,,,,,,,345,347,349,,,,,,,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351,,,,,,,,,,,,,
Phoenix,22,23,,,,,,,,,,,,,,,,25,,,70,72,,261,294,309,319,,,321,,324,325,327,331,332,334,,,,337,,,,,,339,340,,,,342,,,,,,359,363,364,366,,,,367,375,,,,,376,395,396,397,,,,402,,,,,,405,,406,,,,,,,,,,,,,
The Strokes,7,,,62,70,,,,,71,,129,,139,141,185,195,,205,262,429,432,433,434,436,,,,,,438,440,441,467,483,489,559,560,,,,566,,,,574,576,578,579,580,,583,584,,593,,,,,595,,597,,,,,598,,599,600,,,601,604,,,,613,,616,,,,,,617,,,,,,619,,,,,,,622
Dispatch,5,30,,68,227,282,292,313,,328,356,380,385,425,432,484,,492,502,571,576,587,613,681,,,,682,,,,,684,,,693,707,,,,722,,,,,728,777,,,792,,807,,,827,845,,887,,895,919,,,,920,922,,,967,971,978,1044,1077,1093,,,1122,1220,1225,1234,1287,,1291,,1295,1314,,,,1315,,1328,,,1330,,1335,1361,1368
Modest Mouse,3,5,,,,,,,,,,,,,6,7,,,,,,,,,,,,,,,,21,29,32,82,84,95,96,99,101,,105,,,,,107,108,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,111,,,,,,,,,,,,,,,,,,,,,
The Movement,5,134,,,,,135,,,,,,,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodrigo y Gabriela,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yolanda Be Cool & Dcup,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dave Matthews Band,12,,,14,,64,172,257,426,470,504,505,575,587,670,682,828,977,998,1004,1006,1125,1150,1192,1198,1201,1211,1213,1216,1259,,1260,,,1381,1403,1445,1448,,1481,1518,1522,,,1564,,,,,1569,,1615,1654,,1664,,1674,1682,,,,1720,1728,1729,1739,1740,1762,,1767,1773,,1776,1787,1788,,1799,,1803,,,,1806,1810,1813,1816,1824,,,,1831,,,,,,,,1839,1840
Kid Cudi,,37,47,52,,61,,,,,63,,,,81,,,82,90,93,94,108,,,,,,,,,,,,,,110,,,,,,,111,,,,,,,,,,119,,,,,,120,,,,,,,,,,,,,,127,,,,,129,,,,,,,,,,,,,,,,,,,,,
Okkervil River,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dan Black,,8,10,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lewis Black,,3,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fires Of Rome,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dane Cook,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robin Williams,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Hot Chili Peppers,,,74,79,112,,135,,136,156,,,175,408,422,,,426,,,427,450,458,,,,544,,,552,,566,,,,568,,569,,,572,573,,,,,577,,,,,,579,,582,,,,,599,614,646,,,,,,,,,,,655,657,660,,,663,,,,,,,,,,,,,,,,,,,,,
Hip Hop Classics,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Explosions in the Sky,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,17,,,18,19,,,,,,,24,,,,,,,,,25,,,,,,30,,,,,,,,,,,,,,,,31,,,,,,,,,,
Todd Glass,,,10,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Mulaney,,,74,,,,,,,,,,,,107,,,,,,,,,,145,,,,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyan Cat,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratatat,,,10,73,75,78,,,,127,,,,,,,,153,,,163,165,,,170,176,,,,,,182,194,,213,216,233,,,,234,,236,,,,243,312,417,418,423,,424,,,,,,429,,436,,,,,,,,,441,442,,449,,,,,454,,459,,,,460,,461,,462,,,466,,,,,,,,
30 Seconds to Mars,,,,1,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,16,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louis C.K.,,,,11,,,23,,,,38,,49,,74,85,,122,,,158,179,,184,205,,,,,,,,,,,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Radio,,,,,4,110,111,,,,,133,134,,,,,,,,,135,,,,,,,,,,,,,,136,,,,,,,,,,,,,,,,,141,,,,,,,,,,,,,,,,,,,,,,,,,142,,,149,,,,,,,,,,,,,,,,,,
Childish Gambino,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,
David Cross,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doug Benson,,,,,1,,,,,,,,,,,,,,,,2,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hard 'n Phirm,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patton Oswalt,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
